UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,Id,DEST_AIRPORT_ID,Target,MONTH
Japan Air Lines Co. Ltd.,12167,HNA,12173,HNL,6
American Airlines Inc.,11108,COR,13204,MCO,8
Allegiant Air,13543,MWA,16133,YNG,10
Sun Country Airlines d/b/a MN Airlines,12129,HIB,10590,IFP,1
Sun Country Airlines d/b/a MN Airlines,11471,EAU,10590,IFP,1
Japan Air Lines Co. Ltd.,12133,HIJ,12173,HNL,9
Japan Air Lines Co. Ltd.,12763,KOJ,12173,HNL,9
Sun Country Airlines d/b/a MN Airlines,10643,BKG,11278,DCA,9
Cape Air,11879,GDV,10620,BIL,2
Boutique Air,15569,VCT,11298,DFW,2
Cape Air,12245,HVR,10620,BIL,2
Mesa Airlines Inc.,10148,ACA,12266,IAH,5
Japan Air Lines Co. Ltd.,12735,KMJ,12173,HNL,7
Caribbean Airlines Limited,15115,TAB,12478,JFK,10
Boutique Air,14943,SOW,14107,PHX,2
Allegiant Air,15154,TCM,10615,BIF,9
Japan Air Lines Co. Ltd.,11793,FUK,12173,HNL,7
Polskie Linie Lotnicze,14664,RZE,11618,EWR,1
Transportes Aeros Meridiona,14496,REC,13204,MCO,7
Jeju Air Co Ltd.,11781,FSZ,12016,GUM,3
United Air Lines Inc.,13726,NOU,12892,LAX,3
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),11180,CUL,14107,PHX,8
"Mokulele Flight Services, Inc.",13520,MUE,13830,OGG,2
Cape Air,12375,IRK,15016,STL,1
Boutique Air,13490,MSS,10721,BOS,1
National Aviation Company of India Limited d/b/a Air India,10674,BLR,14771,SFO,10
SkyWest Airlines Inc.,15897,WYS,14869,SLC,10
Fast Colombia SAS d/b/a Viva Colombia,14900,SMR,13303,MIA,4
United Air Lines Inc.,12414,IWO,12016,GUM,3
TUI Airlines Nederland B.V.,12922,LDE,10821,BWI,5
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),15483,UPN,12892,LAX,2
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,16873,NM2,14712,SCF,10
Bahamasair Holding Limited,16322,ZSA,13303,MIA,5
Aerovias Nacl De Colombia,14065,PEI,12478,JFK,4
Boutique Air,10272,ALS,11292,DEN,1
Etihad Airways,10415,AUH,10721,BOS,8
Transportes Aereos De Cabo,14451,RAI,10721,BOS,2
"PM Air, LLC",14470,RBN,11624,EYW,9
SkyWest Airlines Inc.,15454,UIN,13930,ORD,2
SkyWest Airlines Inc.,11092,CNY,11292,DEN,1
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),11301,DGO,12892,LAX,2
Ethiopian Airlines,10162,ADD,12892,LAX,2
Cape Air,14745,SDY,10620,BIL,2
Polskie Linie Lotnicze,12789,KRK,13930,ORD,5
Spirit Air Lines,10878,CAP,11697,FLL,6
Talofa Airways Limited,11671,FGI,14222,PPG,2
Venture Travel LLC d/b/a Taquan Air Service,11401,DQU,15741,WFB,7
Omni Air International LLC,10503,BBU,12264,IAD,9
Air New Zealand,14458,RAR,12892,LAX,2
Sichuan Airlines Co Ltd.,15277,TNA,12892,LAX,10
SkyWest Airlines Inc.,14237,PRC,12892,LAX,2
Alaska Airlines Inc.,13095,LTO,12892,LAX,9
SkyWest Airlines Inc.,15582,VEL,11292,DEN,1
Britannia Airways Ltd.,13628,NCL,14761,SFB,10
Azul Linhas Aereas Brazileiras S A,11082,CNF,13204,MCO,9
American Airlines Inc.,10673,BLQ,14100,PHL,9
Hainan Airlines Company Limited,11030,CKG,12892,LAX,3
Royal Air Maroc,11070,CMN,13303,MIA,5
ExpressJet Airlines LLC,15584,VER,12266,IAH,2
Spirit Air Lines,10448,AXM,11697,FLL,2
Air Serbia,10542,BEG,12478,JFK,2
French bee,13943,ORY,14771,SFO,8
Uzbekistan Airways,15130,TAS,12478,JFK,2
South African Airways,10150,ACC,12264,IAD,2
SkyWest Airlines Inc.,10779,BTM,14869,SLC,2
Envoy Air,10728,BPT,11298,DFW,2
American Airlines Inc.,15643,VVI,13303,MIA,9
South African Airways,12520,JNB,12264,IAD,3
American Airlines Inc.,15627,VRA,13303,MIA,2
China Southern Airlines,14803,SHE,12892,LAX,6
Jeju Air Co Ltd.,14299,PUS,14955,SPN,3
"Xiamen Airlines Co., Ltd.",11724,FOC,12478,JFK,2
Kenya Airways PLC,13616,NBO,12478,JFK,2
Ukraine International Airlines,12627,KBP,12478,JFK,2
Kuwait Airways Corp.,12849,KWI,12478,JFK,2
,,AIO,,,
,,SHJ,,,
,,PHC,,,
,,TUU,,,
,,ZXC,,,
,,A50,,,
,,SGH,,,
,,AGT,,,
,,ASU,,,
,,POA,,,
,,MBA,,,
,,WTN,,,
,,DHF,,,
,,RO1,,,
,,ANF,,,
,,CFB,,,
,,VIX,,,
,,SKJ,,,
,,HKS,,,
,,CJU,,,
,,XXW,,,
,,YEV,,,
,,XXU,,,
,,BOK,,,
,,RLD,,,
,,AE2,,,
,,KDH,,,
,,SPM,,,
,,BYW,,,
,,RIX,,,
,,ZAG,,,
,,BZV,,,
,,ADL,,,
,,IN5,,,
,,NKC,,,
,,LKZ,,,
,,YTR,,,
,,MUL,,,
,,NJK,,,
,,NIM,,,
,,DVO,,,
,,AVV,,,
,,PEN,,,
,,TUN,,,
,,RRT,,,
,,TTD,,,
,,OZP,,,
,,RKH,,,
,,MHZ,,,
,,SJW,,,
,,YCG,,,
,,COM,,,
,,ATS,,,
,,ULN,,,
,,ROS,,,
,,CBR,,,
,,BEY,,,
,,SUB,,,
,,ASB,,,
,,KKJ,,,
,,DRW,,,
,,OSH,,,
,,NQN,,,
,,DQP,,,
,,LAD,,,
,,NTE,,,
,,UXP,,,
,,EML,,,
,,6B0,,,
,,JER,,,
,,SCQ,,,
,,OBF,,,
,,FMO,,,
,,GTY,,,
,,BLE,,,
,,UME,,,
,,BFB,,,
,,NY3,,,
,,LJU,,,
,,KLR,,,
,,OLB,,,
,,AVN,,,
,,MME,,,
,,MPL,,,
,,PAO,,,
,,DTM,,,
,,ABZ,,,
,,GRZ,,,
,,RTS,,,
,,WRO,,,
,,N2Y,,,
,,KS3,,,
,,FNR,,,
,,KVG,,,
,,YND,,,
,,JLA,,,
,,EFK,,,
,,WQX,,,
,,OLM,,,
,,CH1,,,
,,IOA,,,
,,LUG,,,
,,BXO,,,
,,GMU,,,
,,SOU,,,
,,ZBL,,,
,,FCM,,,
,,YTM,,,
,,CEQ,,,
,,ETZ,,,
,,NGD,,,
,,LVK,,,
,,HLA,,,
,,JZM,,,
,,PNP,,,
,,FKB,,,
,,SXB,,,
,,P1A,,,
,,KKU,,,
,,PT1,,,
,,YYF,,,
,,SMB,,,
,,ORK,,,
,,TNG,,,
,,ZBF,,,
,,TRK,,,
,,KLX,,,
,,CAT,,,
,,YDA,,,
,,AL7,,,
,,YLS,,,
,,GMT,,,
,,DLM,,,
,,RLG,,,
,,SDX,,,
,,PGF,,,
,,EAS,,,
,,PRN,,,
,,BML,,,
,,DIJ,,,
,,EFL,,,
,,VCB,,,
,,AAR,,,
,,MDZ,,,
,,TIV,,,
,,HET,,,
,,RCA,,,
,,SKL,,,
,,RQZ,,,
,,MQP,,,
,,OKJ,,,
,,BYJ,,,
,,TLL,,,
,,CYB,,,
,,OKA,,,
,,DNE,,,
,,NBC,,,
,,MED,,,
,,KTW,,,
,,MES,,,
